unique_id,dataset,participant_id,age_ses-T1,sex,handedness,lives_with,mother_highest_grade,father_highest_grade,WJ-III_WordID_Raw,WJ-III_WordID_StS,WJ-III_WA_Raw,WJ-III_WA_StS,WJ-III_PassComp_Raw,WJ-III_PassComp_StS,WJ-III_MathFluency_Raw,WJ-III_MathFluency_StS,WJ-III_SpatialRelations_Raw,WJ-III_SpatialRelations_Letter,WJ-III_SpatialRelations_StS,WJ-III_BRS_StS,CTOPP_EL_Raw,CTOPP_EL_StS,CTOPP_BW_Raw,CTOPP_BW_StS,CTOPP_RD_Raw,CTOPP_RD_StS,CTOPP_RL_Raw,CTOPP_RL_StS,CTOPP_PhonAwareness_Comp,CTOPP_RapidNaming_Comp,WASI_Vocab_Raw,WASI_Vocab_T-Score,WASI_BD_Raw,WASI_BD_T-Score,WASI_Sim_Raw,WASI_Sim_T-Score,WASI_MR_Raw,WASI_MR_T-Score,WASI_Verbal_SumTScores,WASI_VIQ,WASI_Perf_SumTScores,WASI_PIQ,WASI_FSIQ_SumTScores,WASI_FSIQ
ds001486_sub-0098,ds001486,sub-098,9.37,female,right,Both Parents,3,3,44,94,12,92,26,95,35,83,40,D,84,93,8,7,9,8,29,12,37,10,85,106,36,56,7,40,22,53,9,35,109,107,75,81,184,93
ds001486_sub-0099,ds001486,sub-099,10.18,female,right,Grandmother,1,1,40,85,19,97,24,88,65,104,57,D,91,90,7,5,10,7,33,10,40,8,76,94,25,35,10,41,24,51,8,29,86,89,70,77,156,82
ds001486_sub-0100,ds001486,sub-100,9.96,female,right,mother and stepfather,2,1,54,105,22,102,28,96,53,95,64,D,100,103,6,6,12,9,27,13,33,11,85,112,39,55,12,44,27,58,21,52,113,109,96,96,209,104
ds001486_sub-0101,ds001486,sub-101,12.24,female,right,Mother,5,4,62,110,25,102,34,103,84,101,70,D,105,107,7,4,6,5,24,13,33,9,67,106,41,48,24,43,27,50,25,53,98,98,96,96,194,98
ds001486_sub-0102,ds001486,sub-102,10.4,female,right,Mother,3,2,45,90,15,92,30,98,45,84,71,D,111,91,14,9,16,11,33,10,42,8,100,94,43,58,24,53,22,47,25,57,105,104,110,107,215,107
ds001486_sub-0103,ds001486,sub-103,10.09,female,right,Mother & Great-grandmother & my roommate & her son,3,2,54,106,21,101,25,92,41,86,57,D,91,104,8,7,12,9,38,9,39,10,88,97,33,49,15,48,20,47,24,58,96,97,106,104,202,100
ds001486_sub-0104,ds001486,sub-104,12.16,female,right,School days w/mother & weekends w/father.,1,2,54,95,23,98,28,89,59,85,57,D,87,97,8,5,12,8,41,6,45,6,79,76,36,42,7,33,26,47,21,46,89,91,79,84,168,86
ds001486_sub-0105,ds001486,sub-105,10.64,female,right,Both Parents,2,2,45,90,12,89,26,90,21,63,55,D,88,89,7,5,7,5,38,8,47,7,70,85,25,34,6,35,20,42,18,44,76,82,79,84,155,81
ds001486_sub-0106,ds001486,sub-106,12.22,male,right,Both Parents,5,4,55,95,18,92,32,96,47,74,74,D,113,93,9,5,19,14,30,9,30,10,97,97,39,44,35,54,24,42,26,55,86,89,109,106,195,98
ds001486_sub-0107,ds001486,sub-107,10.67,male,right,Both Parents,3,3,41,83,18,95,26,89,35,74,65,D,100,88,16,10,9,7,45,7,41,8,91,85,37,48,27,55,28,57,20,47,105,104,102,101,107,103
ds001486_sub-0108,ds001486,sub-108,10.39,male,right,Mother,2,2,47,93,15,92,23,86,60,98,63,D,98,92,7,5,10,7,31,10,35,10,76,100,38,51,7,37,18,41,15,42,92,94,79,84,171,87
ds001486_sub-0109,ds001486,sub-109,12.45,male,right,Both Parents,4,5,65,114,25,100,30,91,54,78,59,D,88,108,19,12,16,11,24,12,25,13,109,115,39,43,9,32,23,39,22,46,82,87,78,84,160,83
ds001486_sub-0110,ds001486,sub-110,10.7,male,right,Mother,3,3,51,97,15,92,31,99,44,82,52,D,84,94,8,6,5,4,38,8,46,7,70,85,40,52,6,35,23,47,11,32,99,99,67,75,166,85
ds001486_sub-0111,ds001486,sub-111,9.33,male,right,Both Parents,2,2,45,95,18,98,25,93,33,82,54,D,89,96,7,6,13,10,45,8,42,9,88,91,34,53,6,39,25,58,6,31,111,108,70,78,181,91
ds001486_sub-0112,ds001486,sub-112,11.27,male,right,Mother,1,3,54,98,21,97,32,100,96,116,58,D,89,98,15,8,11,8,38,7,34,9,88,88,46,57,7,35,30,58,17,41,115,111,76,82,191,96
ds001486_sub-0113,ds001486,sub-113,11.15,male,right,n/a,n/a,n/a,52,96,26,106,29,94,54,87,54,D,84,98,16,9,12,8,50,5,42,7,91,76,39,48,7,35,25,48,24,53,96,97,88,90,184,93
ds001486_sub-0114,ds001486,sub-114,11.75,male,right,Both Parents,2,2,52,94,18,93,26,85,82,103,52,D,81,93,14,8,6,5,22,14,22,16,79,130,33,39,6,32,25,45,20,44,84,88,76,82,160,83
ds001486_sub-0115,ds001486,sub-115,13.04,male,right,n/a,n/a,n/a,64,108,26,101,31,92,70,87,71,D,105,106,18,11,17,12,31,7,36,7,109,82,52,58,35,51,24,40,25,51,98,98,102,101,200,100
ds001486_sub-0116,ds001486,sub-116,11.54,female,right,Both Parents,3,2,46,87,19,95,28,91,42,75,62,D,94,91,19,12,19,14,45,6,53,5,118,73,35,43,23,49,25,48,27,59,91,93,108,106,199,100
ds001486_sub-0117,ds001486,sub-117,13,female,right,"Mother, but Father passed 3 yrs 2w",3,4,63,106,26,101,34,99,97,105,64,D,94,104,18,11,11,8,29,9,33,8,97,91,52,58,7,31,31,53,21,43,111,108,74,80,185,93
ds001486_sub-0118,ds001486,sub-118,13.34,male,right,Mother,2,2,61,100,28,107,35,102,101,106,63,D,92,104,19,12,10,7,24,11,29,10,97,103,46,50,17,38,31,52,25,50,102,101,88,90,190,96
ds001486_sub-0119,ds001486,sub-119,11.6,male,right,take turns,2,3,59,106,19,94,34,105,68,95,67,D,101,99,15,8,12,8,34,8,40,7,88,85,40,48,25,47,31,54,30,64,102,101,111,108,213,106
ds001486_sub-0120,ds001486,sub-120,12.36,female,right,Both Parents,3,2,60,104,21,95,29,90,73,94,78,D,126,99,17,10,18,13,30,9,34,8,109,91,50,58,38,56,33,59,28,59,117,113,115,111,232,114
ds001486_sub-0121,ds001486,sub-121,10.61,male,right,Mother,3,1,60,113,26,108,32,102,40,79,59,D,92,111,8,6,11,8,35,9,30,12,82,103,40,52,16,46,21,43,21,49,95,96,95,96,190,96
ds001486_sub-0122,ds001486,sub-122,9.1,female,right,Both Parents,3,2,57,116,28,117,29,103,58,108,55,D,92,117,17,12,13,10,24,14,29,13,106,121,30,47,7,40,19,48,24,60,95,96,100,99,195,98
ds001486_sub-0123,ds001486,sub-123,12.35,male,right,Both Parents,5,3,61,106,28,109,36,109,89,99,76,D,118,108,14,8,10,7,34,7,32,9,85,88,54,63,60,71,43,78,32,67,141,137,138,135,279,141
ds001486_sub-0124,ds001486,sub-124,9.59,female,right,Mother,4,3,52,104,15,94,27,96,73,114,60,D,96,99,17,12,9,8,35,10,37,10,100,100,42,61,23,54,23,52,31,72,113,109,126,123,239,118
ds001486_sub-0125,ds001486,sub-125,9.64,female,right,Mother,2,2,48,98,13,92,28,97,36,84,63,D,100,95,14,10,16,12,32,11,38,10,106,103,40,58,8,40,27,60,14,42,118,114,82,86,200,100
ds001486_sub-0126,ds001486,sub-126,10.73,male,right,Mother & sister,4,n/a,57,106,23,101,29,95,117,130,66,D,101,104,10,7,5,4,25,13,29,12,59,115,44,56,41,64,25,50,24,53,106,105,117,114,223,109
ds001486_sub-0127,ds001486,sub-127,13.11,female,right,Both Parents,2,n/a,66,113,26,101,38,113,99,102,66,D,97,108,18,11,16,11,24,11,29,10,106,103,55,61,51,61,37,64,27,54,125,120,115,111,240,118
ds001486_sub-0128,ds001486,sub-128,8.64,male,right,Both Parents,5,5,56,119,25,114,28,105,38,98,66,D,109,118,16,12,9,8,48,8,58,7,100,85,37,63,44,78,20,52,23,62,115,111,140,137,255,127
ds001486_sub-0129,ds001486,sub-129,13.54,male,right,parents are separated- lives mainly with mom but spends time with dad too,3,3,61,99,27,103,32,93,127,119,55,D,82,101,19,12,18,13,22,12,25,12,115,112,40,42,8,31,26,43,23,45,85,88,76,82,161,84
ds001486_sub-0130,ds001486,sub-130,11.35,female,right,Both Parents,3,4,53,96,23,99,31,97,44,76,67,D,101,98,16,9,14,9,42,6,35,9,94,85,39,47,28,52,30,57,29,62,104,103,114,110,218,108
ds001486_sub-0131,ds001486,sub-131,10.88,female,right,Father,n/a,3,61,114,23,101,31,99,50,86,61,D,94,108,15,9,7,5,26,12,32,11,82,109,43,55,24,51,27,54,19,45,109,107,96,96,205,102
ds001486_sub-0132,ds001486,sub-132,12.16,female,right,Both Parents,4,3,55,96,28,110,36,110,72,94,75,D,116,102,16,9,9,7,25,11,30,10,88,103,41,46,49,63,30,53,23,49,99,99,112,109,211,105
